"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
1689,"CYCG","medium_airport","Castlegar/West Kootenay Regional Airport",49.2964,-117.632,1624,"NA","CA","CA-BC","Castlegar","yes","CYCG","YCG","","","http://en.wikipedia.org/wiki/Castlegar_Airport",""
1690,"CYCH","medium_airport","Miramichi Airport",47.0078,-65.4492,108,"NA","CA","CA-NB","Miramichi","yes","CYCH","YCH","","","http://en.wikipedia.org/wiki/Miramichi_Airport","CFB Chatham, RCAF Station Chatham"
1691,"CYCL","medium_airport","Charlo Airport",47.9908,-66.3303,132,"NA","CA","CA-NB","Charlo","yes","CYCL","YCL","","","http://en.wikipedia.org/wiki/Charlo_Airport",""
1692,"CYCN","medium_airport","Cochrane Airport",49.1056,-81.0136,861,"NA","CA","CA-ON","Cochrane","no","CYCN","YCN","","","http://en.wikipedia.org/wiki/Cochrane_Airport",""
1693,"CYCO","medium_airport","Kugluktuk Airport",67.8167,-115.144,74,"NA","CA","CA-NU","Kugluktuk","yes","CYCO","YCO","","","http://en.wikipedia.org/wiki/Kugluktuk_Airport","Copper Mine Airport"
1695,"CYCQ","medium_airport","Chetwynd Airport",55.6872,-121.627,2000,"NA","CA","CA-BC","Chetwynd","no","CYCQ","YCQ","","","http://en.wikipedia.org/wiki/Chetwynd_Airport",""
1696,"CYCR","medium_airport","Cross Lake (Charlie Sinclair Memorial) Airport",54.6106,-97.7608,709,"NA","CA","CA-MB","Cross Lake","no","CYCR","YCR","","","http://en.wikipedia.org/wiki/Cross_Lake_(Charlie_Sinclair_Memorial)_Airport",""
1697,"CYCS","medium_airport","Chesterfield Inlet Airport",63.3469,-90.7311,32,"NA","CA","CA-NU","Chesterfield Inlet","yes","CYCS","YCS","","","http://en.wikipedia.org/wiki/Chesterfield_Inlet_Airport",""
1701,"CYCY","medium_airport","Clyde River Airport",70.4861,-68.5167,87,"NA","CA","CA-NU","Clyde River","yes","CYCY","YCY","","","http://en.wikipedia.org/wiki/Clyde_River_Airport",""
1703,"CYDA","medium_airport","Dawson City Airport",64.0431,-139.128,1215,"NA","CA","CA-YT","Dawson City","yes","CYDA","YDA","","","http://en.wikipedia.org/wiki/Dawson_City_Airport",""
1704,"CYDB","medium_airport","Burwash Airport",61.3711,-139.041,2647,"NA","CA","CA-YT","Burwash","no","CYDB","YDB","","","http://en.wikipedia.org/wiki/Burwash_Airport",""
1706,"CYDF","medium_airport","Deer Lake Airport",49.2108,-57.3914,72,"NA","CA","CA-NL","Deer Lake","yes","CYDF","YDF","","","http://en.wikipedia.org/wiki/Deer_Lake_Airport_(Newfoundland)",""
1709,"CYDM","medium_airport","Ross River Airport",61.9706,-132.423,2314,"NA","CA","CA-YT","Ross River","no","CYDM","XRR","YDM","","http://en.wikipedia.org/wiki/Ross_River_Airport",""
1710,"CYDN","medium_airport","Dauphin Barker Airport",51.1008,-100.052,999,"NA","CA","CA-MB","Dauphin","yes","CYDN","YDN","","","http://en.wikipedia.org/wiki/Dauphin_(Lt._Col_W.G._(Billy)_Barker_VC_Airport)",""
1711,"CYDO","medium_airport","Dolbeau St Felicien Airport",48.7785,-72.375,372,"NA","CA","CA-QC","Dolbeau-St-Félicien","no","CYDO","YDO","","","http://en.wikipedia.org/wiki/Dolbeau-St-F%C3%A9licien_Airport","Dolbeau St Methode"
1712,"CYDP","medium_airport","Nain Airport",56.5492,-61.6803,22,"NA","CA","CA-NL","Nain","yes","CYDP","YDP","","","http://en.wikipedia.org/wiki/Nain_Airport",""
1713,"CYDQ","medium_airport","Dawson Creek Airport",55.7423,-120.183,2148,"NA","CA","CA-BC","Dawson Creek","yes","CYDQ","YDQ","","","http://en.wikipedia.org/wiki/Dawson_Creek_Airport",""
1717,"CYEG","large_airport","Edmonton International Airport",53.3097,-113.58,2373,"NA","CA","CA-AB","Edmonton","yes","CYEG","YEG","CYEG","http://www.edmontonairports.com/","http://en.wikipedia.org/wiki/Edmonton_International_Airport","YEA"
1718,"CYEK","medium_airport","Arviat Airport",61.0942,-94.0708,32,"NA","CA","CA-NU","Arviat","yes","CYEK","YEK","","","http://en.wikipedia.org/wiki/Arviat_Airport",""
1719,"CYEL","medium_airport","Elliot Lake Municipal Airport",46.3514,-82.5614,1087,"NA","CA","CA-ON","Elliot Lake","no","CYEL","YEL","","http://cyelont.tripod.com/cyel/","http://en.wikipedia.org/wiki/Elliot_Lake_Municipal_Airport",""
1720,"CYEM","medium_airport","Manitoulin East Municipal Airport",45.8428,-81.8581,869,"NA","CA","CA-ON","Manitowaning","no","CYEM","YEM","","","http://en.wikipedia.org/wiki/Manitowaning/Manitoulin_East_Municipal_Airport",""
1721,"CYEN","medium_airport","Estevan Airport",49.2103,-102.966,1905,"NA","CA","CA-SK","Estevan","no","CYEN","YEN","","","http://en.wikipedia.org/wiki/Estevan_Regional_Aerodrome","YEN"
1724,"CYET","medium_airport","Edson Airport",53.5789,-116.465,3043,"NA","CA","CA-AB","Edson","no","CYET","YET","","","http://en.wikipedia.org/wiki/Edson_Airport",""
1726,"CYEV","medium_airport","Inuvik Mike Zubko Airport",68.3042,-133.483,224,"NA","CA","CA-NT","Inuvik","yes","CYEV","YEV","","","http://en.wikipedia.org/wiki/Inuvik_(Mike_Zubko)_Airport",""
1727,"CYEY","medium_airport","Amos/Magny Airport",48.5639,-78.2497,1068,"NA","CA","CA-QC","Amos","no","CYEY","YEY","","","http://en.wikipedia.org/wiki/Amos/Magny_Airport",""
1729,"CYFB","medium_airport","Iqaluit Airport",63.7564,-68.5558,110,"NA","CA","CA-NU","Iqaluit","yes","CYFB","YFB","","","http://en.wikipedia.org/wiki/Iqaluit_Airport","Frobisher Bay Air Base"
1730,"CYFC","medium_airport","Fredericton Airport",45.8689,-66.5372,68,"NA","CA","CA-NB","Fredericton","yes","CYFC","YFC","","","http://en.wikipedia.org/wiki/Greater_Fredericton_Airport",""
1732,"CYFE","medium_airport","Forestville Airport",48.7461,-69.0972,293,"NA","CA","CA-QC","Forestville","no","CYFE","YFE","","","http://en.wikipedia.org/wiki/Forestville_Airport",""
1734,"CYFJ","medium_airport","La Macaza / Mont-Tremblant International Inc Airport",46.4094,-74.78,827,"NA","CA","CA-QC","Rivière Rouge","no","CYFJ","YTM","","http://www.mtia.ca/","http://en.wikipedia.org/wiki/Rivi%C3%A8re_Rouge/Mont-Tremblant_International_Inc_Airport","YFJ, CYTM"
1735,"CYFO","medium_airport","Flin Flon Airport",54.6781,-101.682,997,"NA","CA","CA-MB","Flin Flon","yes","CYFO","YFO","","","http://en.wikipedia.org/wiki/Flin_Flon_Airport",""
1738,"CYFT","medium_airport","Makkovik Airport",55.0769,-59.1864,234,"NA","CA","CA-NL","Makkovik","yes","CYFT","YMN","","","http://en.wikipedia.org/wiki/Makkovik_Airport","YFT"
1739,"CYGB","medium_airport","Texada Gillies Bay Airport",49.6942,-124.518,326,"NA","CA","CA-BC","Texada","yes","CYGB","YGB","","","http://en.wikipedia.org/wiki/Texada/Gillies_Bay_Airport",""
1743,"CYGK","medium_airport","Kingston Norman Rogers Airport",44.2253,-76.5969,305,"NA","CA","CA-ON","Kingston","yes","CYGK","YGK","","http://www.cityofkingston.ca/residents/transportation/airport/index.asp","http://en.wikipedia.org/wiki/Kingston/Norman_Rogers_Airport",""
1744,"CYGL","medium_airport","La Grande Rivière Airport",53.6253,-77.7042,639,"NA","CA","CA-QC","La Grande Rivière","yes","CYGL","YGL","","","http://en.wikipedia.org/wiki/La_Grande_Rivi%C3%A8re_Airport",""
1745,"CYGM","medium_airport","Gimli Industrial Park Airport",50.6281,-97.0433,753,"NA","CA","CA-MB","Gimli","no","CYGM","YGM","","","http://en.wikipedia.org/wiki/Gimli_Industrial_Park_Airport",""
1746,"CYGO","medium_airport","Gods Lake Narrows Airport",54.5589,-94.4914,617,"NA","CA","CA-MB","Gods Lake Narrows","yes","CYGO","YGO","","","http://en.wikipedia.org/wiki/Gods_Lake_Narrows_Airport",""
1747,"CYGP","medium_airport","Gaspé (Michel-Pouliot) Airport",48.7753,-64.4786,112,"NA","CA","CA-QC","Gaspé","yes","CYGP","YGP","","","http://en.wikipedia.org/wiki/Gasp%C3%A9_Airport",""
1748,"CYGQ","medium_airport","Geraldton Greenstone Regional Airport",49.7783,-86.9394,1144,"NA","CA","CA-ON","Geraldton","no","CYGQ","YGQ","","","http://en.wikipedia.org/wiki/Geraldton_(Greenstone_Regional)_Airport",""
1749,"CYGR","medium_airport","Îles-de-la-Madeleine Airport",47.4247,-61.7781,35,"NA","CA","CA-QC","Îles-de-la-Madeleine","yes","CYGR","YGR","","","http://en.wikipedia.org/wiki/%C3%8Eles-de-la-Madeleine_Airport",""
1750,"CYGT","medium_airport","Igloolik Airport",69.3647,-81.8161,174,"NA","CA","CA-NU","Igloolik","yes","CYGT","YGT","","","http://en.wikipedia.org/wiki/Igloolik_Airport",""
1751,"CYGV","medium_airport","Havre St Pierre Airport",50.2819,-63.6114,124,"NA","CA","CA-QC","Havre St-Pierre","no","CYGV","YGV","","","http://en.wikipedia.org/wiki/Havre_St-Pierre_Airport",""
1752,"CYGW","medium_airport","Kuujjuarapik Airport",55.2819,-77.7653,34,"NA","CA","CA-QC","Kuujjuarapik","yes","CYGW","YGW","","","http://en.wikipedia.org/wiki/Kuujjuarapik_Airport",""
1753,"CYGX","medium_airport","Gillam Airport",56.3575,-94.7106,476,"NA","CA","CA-MB","Gillam","yes","CYGX","YGX","","","http://en.wikipedia.org/wiki/Gillam_Airport",""
1754,"CYGZ","medium_airport","Grise Fiord Airport",76.4261,-82.9092,146,"NA","CA","CA-NU","Grise Fiord","yes","CYGZ","YGZ","","","http://en.wikipedia.org/wiki/Grise_Fiord_Airport",""
1755,"CYHA","medium_airport","Quaqtaq Airport",61.0464,-69.6178,103,"NA","CA","CA-QC","Quaqtaq","yes","CYHA","YQC","","","http://en.wikipedia.org/wiki/Quaqtaq_Airport","YHA"
1757,"CYHD","medium_airport","Dryden Regional Airport",49.8317,-92.7442,1354,"NA","CA","CA-ON","Dryden","yes","CYHD","YHD","","","http://en.wikipedia.org/wiki/Dryden_Regional_Airport",""
1758,"CYHE","medium_airport","Hope Airport",49.3683,-121.498,128,"NA","CA","CA-BC","Hope","no","CYHE","YHE","","","http://en.wikipedia.org/wiki/Hope_Aerodrome","YHE"
1759,"CYHF","medium_airport","Hearst René Fontaine Municipal Airport",49.7142,-83.6861,827,"NA","CA","CA-ON","Hearst","no","CYHF","YHF","","","http://en.wikipedia.org/wiki/Hearst_(Ren%C3%A9_Fontaine)_Municipal_Airport",""
